Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
12-01-2022,42742.17969,44135.36719,42528.98828,43949.10156,43949.10156,33499938689.00,41819.50781,43001.15625,41407.75391
13-01-2022,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082.00,42742.17969,44135.36719,42528.98828
14-01-2022,42598.87109,43346.6875,41982.61719,43099.69922,43099.69922,23577403399.00,43946.74219,44278.42188,42447.04297
15-01-2022,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298.00,42598.87109,43346.6875,41982.61719
16-01-2022,43172.03906,43436.80859,42691.02344,43113.87891,43113.87891,17902097845.00,43101.89844,43724.67188,42669.03516
17-01-2022,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261.00,43172.03906,43436.80859,42691.02344
18-01-2022,42250.07422,42534.40234,41392.21484,42375.63281,42375.63281,22417209227.00,43118.12109,43179.39063,41680.32031
19-01-2022,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258.00,42250.07422,42534.40234,41392.21484
20-01-2022,41744.02734,43413.02344,40672.82422,40680.41797,40680.41797,20382033940.00,42374.03906,42478.30469,41242.91406
21-01-2022,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031.00,41744.02734,43413.02344,40672.82422
22-01-2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405.00,40699.60547,41060.52734,35791.42578
23-01-2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951.00,36471.58984,36688.8125,34349.25
24-01-2022,36275.73438,37247.51953,33184.05859,36654.32813,36654.32813,41856658597.00,35047.35938,36433.3125,34784.96875
25-01-2022,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594.00,36275.73438,37247.51953,33184.05859
26-01-2022,36950.51563,38825.41016,36374.90625,36852.12109,36852.12109,31324598034.00,36654.80469,37444.57031,35779.42969
27-01-2022,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629.00,36950.51563,38825.41016,36374.90625
28-01-2022,37128.44531,37952.87891,36211.10938,37784.33203,37784.33203,22238830523.00,36841.87891,37148.32422,35629.28125
29-01-2022,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075.00,37128.44531,37952.87891,36211.10938
30-01-2022,38151.91797,38266.33984,37437.71094,37917.60156,37917.60156,14643548444.00,37780.71484,38576.26172,37406.47266
31-01-2022,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465.00,38151.91797,38266.33984,37437.71094
01-02-2022,38481.76563,39115.13281,38113.66406,38743.27344,38743.27344,20288500328.00,37920.28125,38647.26172,36733.57422
02-02-2022,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416.00,38481.76563,39115.13281,38113.66406
03-02-2022,36944.80469,37154.60156,36375.53906,37154.60156,37154.60156,18591534769.00,38743.71484,38834.61719,36832.73047
04-02-2022,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792.00,36944.80469,37154.60156,36375.53906
05-02-2022,41501.48047,41847.16406,41038.09766,41441.16406,41441.16406,19652846215.00,37149.26563,41527.78516,37093.62891
06-02-2022,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334.00,41501.48047,41847.16406,41038.09766
07-02-2022,42406.78125,44401.86328,41748.15625,43840.28516,43840.28516,28641855926.00,41441.12109,42500.78516,41244.90625
08-02-2022,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868.00,42406.78125,44401.86328,41748.15625
09-02-2022,44096.70313,44727.80078,43232.96875,44338.79688,44338.79688,23245887300.00,43854.65234,45293.86719,42807.83594
10-02-2022,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537.00,44096.70313,44727.80078,43232.96875
11-02-2022,43571.12891,43810.83203,42114.53906,42407.9375,42407.9375,26954925781.00,44347.80078,45661.17188,43402.80859
12-02-2022,42412.30078,42992.55078,41852.57422,42244.46875,42244.46875,18152390304.00,43571.12891,43810.83203,42114.53906
13-02-2022,42236.56641,42693.05469,41950.94141,42197.51563,42197.51563,14741589015.00,42412.30078,42992.55078,41852.57422
14-02-2022,42157.39844,42775.77734,41681.95703,42586.91797,42586.91797,20827783012.00,42236.56641,42693.05469,41950.94141
15-02-2022,42586.46484,44667.21875,42491.03516,44575.20313,44575.20313,22721659051.00,42157.39844,42775.77734,41681.95703
16-02-2022,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657.00,42586.46484,44667.21875,42491.03516
17-02-2022,43937.07031,44132.97266,40249.37109,40538.01172,40538.01172,26246662813.00,44578.27734,44578.27734,43456.69141
